#,NO, radio_, radio_Character1,radio_Character1_image, radio_Character2,radio_Character2_image, radio_type1, radio_type1_1, radio_type2, radio_type2_1, radio_result, radio_talk,#
,1,142.15,0,bg_aisha,0,bg_aisha,0,0,0,0,0,哇哈哈哈哈哈哈哈哈哈哈,
,2,142.15,0,bg_aisha,1,bg_lisha,0,0,0,0,0,你打給我就是為了…,
,3,142.15,0,bg_aisha,0,bg_aisha,0,0,0,0,0,拉拉拉拉拉拉拉拉拉,
,4,142.15,0,bg_aisha,1,bg_lisha,0,0,0,0,0,滾。,
,5,142.15,1,bg_lisha,1,bg_lisha,0,0,0,0,0,今天系統有重大的優化,
,6,142.15,1,bg_lisha,0,bg_aisha,0,0,0,0,0,哇嗚!!你看,
,7,142.15,1,bg_lisha,1,bg_lisha,0,0,0,0,0,可以到你之前到不了的…,
,8,142.15,1,bg_lisha,0,bg_aisha,0,0,0,0,0,是咖打掐欸!!!,
,9,142.15,1,bg_lisha,0,bg_aisha,0,0,0,0,0,………,
,10,143.1,0,bg_aisha,1,bg_lisha,0,0,0,0,5,ALiisha BGM Loop 180116,
,11,143.1,0,bg_aisha,1,bg_lisha,0,0,0,0,0,(播放著熟悉的音樂。),
,12,144,0,bg_aisha,1,bg_lisha,0,0,0,0,5,Fbsound,
,13,144,0,bg_aisha,1,bg_lisha,0,0,0,0,0,原來不是我的Faceb…,
,14,144,0,bg_aisha,1,bg_lisha,0,0,0,0,0,(…？話到了嘴邊卻說不出口),
,15,144,0,bg_aisha,1,bg_lisha,0,0,0,0,0,(另一個世界的訊息嗎…？),
,16,141.5,0,bg_aisha,1,bg_escs,0,0,0,0,5,ESCS BGM,
,17,141.5,0,bg_aisha,1,bg_escs,0,0,0,0,0,現在播出特別廣播劇『兄妹絕体絕命』,
,18,141.5,0,bg_aisha,1,bg_escs,0,0,0,0,0,究竟被綁住雙手的兄妹這次能否順利逃脫,
,19,141.5,0,bg_aisha,1,bg_escs,0,0,0,0,0,精彩劇情請定期鎖定雙子廣播電台,
,20,144.9,0,bg_aisha,1,bg_ss,0,0,0,0,5,Logo BGM 180123,
,21,144.9,0,bg_aisha,1,bg_ss,0,0,0,0,0,今天是Allisha第一次跟大家見面,
,22,144.9,0,bg_aisha,1,bg_ss,0,0,0,0,0,希望各位喜歡與Allisha姊妹一同奮鬥的故事,
